Package,Version
@tanstack/react-router,= 1.169.5
@tanstack/react-router,= 1.169.8
@tanstack/vue-router,= 1.169.5
@tanstack/vue-router,= 1.169.8
@tanstack/solid-router,= 1.169.5
@tanstack/solid-router,= 1.169.8
@tanstack/router-core,= 1.169.5
@tanstack/router-core,= 1.169.8
@tanstack/react-start,= 1.167.68
@tanstack/react-start,= 1.167.71
@tanstack/router-plugin,= 1.167.38
@tanstack/router-plugin,= 1.167.41
@mistralai/mistralai,= 2.2.2
@mistralai/mistralai,= 2.2.3
@mistralai/mistralai,= 2.2.4
@draftlab/auth,
@draftlab/db,
@draftauth/client,
@squawk/aviation-data,
safe-action,
cmux-agent-mcp,
nextmove-mcp,
ts-dna,
cross-stitch,
